지자체,시장명,시장면적,전체 점포 중 영업 중인 점포 수,빈점포,기타점포(창고 및 사무실 등 영업 이외의 목적으로 활용되고 있는 점포),노점수,점포상인 수 (종업원 제외) - 2019,종업원 수 (점포주 제외) - 2019,노점상인 수 (종업원 제외) - 2019,총시장 상인 - 2019,소방시설보유,보유여부 - 스프링클러,보유여부 - 소화전,보유여부 - 공용소화기,보유여부 - 경보기,보유여부 - 화재_가스감지센서,보유여부 - 화재알림시설(자동 화재속보 설비),보유율 - 개별점포 보유 소화기,보유여부 - CCTV,보유여부 - 공동화장실,보유여부 - 아케이드,보유여부 - 엘리베이터_에스컬레이터 (건물형만)
서울은평구,연서시장,2970,92,1,0,10,92,78,10,180,1,2,1,1,1,1,1,100,1,1,2,2
서울은평구,제일시장,2097,43,3,2,2,43,6,2,51,1,1,1,1,1,1,1,100,1,1,1,2
서울은평구,증산종합시장,3304,50,20,6,32,50,4,32,86,1,2,1,1,1,1,1,100,1,1,1,2
서울종로구,낙원시장,270,195,8,0,0,195,250,0,445,1,1,1,1,1,1,1,100,1,1,2,1
서울종로구,동대문상가A동,2063,175,20,70,0,175,40,0,215,1,1,1,1,1,1,1,100,1,1,1,2
서울종로구,동대문상가B동,924,200,5,33,0,200,20,0,220,1,1,1,1,1,1,1,100,1,1,2,2
서울종로구,동대문상가C동,924,200,5,24,0,200,64,0,264,1,1,1,1,1,1,1,100,1,1,2,2
서울종로구,동대문종합시장,16500,3850,450,0,0,3850,11150,0,15000,1,1,1,1,1,1,1,10,1,1,1,1
서울종로구,동대문종합시장D동상가,12465,1150,0,0,0,1150,800,0,1950,1,1,1,1,1,1,1,10,1,1,2,1
서울종로구,동문시장㈜,1815,200,100,40,0,200,200,0,400,1,1,1,1,1,1,1,50,1,1,2,2
서울종로구,신설종합시장,2970,131,0,20,0,131,10,0,141,1,2,1,1,1,1,1,80,1,1,2,2
서울종로구,종로신진시장,1684,50,5,0,55,50,10,55,115,1,1,1,1,1,1,1,90,1,1,1,2
서울종로구,통인시장,2200,77,3,0,0,77,53,0,130,1,1,1,1,1,1,1,95,1,1,1,2
서울종로구,한일상가,1174,210,30,20,0,210,0,0,210,1,1,1,1,1,1,1,50,1,1,2,1
서울종로구,동대문상가D동,660,32,1,0,0,32,0,0,32,1,1,1,1,1,1,2,10,1,1,2,1
서울종로구,동대문종합시장 신관(동대문쇼핑타운),1320,350,50,0,0,350,650,0,1000,1,1,1,1,1,1,1,0,1,1,2,1
서울중구,광희패션몰,2934,1262,8,0,0,1262,0,0,1262,1,1,1,1,1,1,1,0,1,1,2,1
서울중구,남대문시장,66000,4753,647,0,0,4753,2100,0,6853,1,1,1,1,1,1,2,80,1,1,2,1
서울중구,남평화시장,2314,740,30,0,0,740,450,0,1190,1,1,1,1,1,1,2,40,1,1,2,2
서울중구,대림상가,2345,206,4,10,2,206,290,2,498,1,1,1,1,1,1,1,50,1,1,2,1
서울중구,동평화시장,3497,1260,20,0,0,1260,394,0,1654,1,1,1,1,1,1,1,100,1,1,2,1
서울중구,동화상가,3914,1056,100,0,0,1056,3000,0,4056,1,1,1,1,1,1,1,100,1,1,2,1
서울중구,방산종합시장,9737,1070,40,450,0,1070,500,0,1570,1,1,1,1,1,1,1,100,1,1,1,1
서울중구,삼익패션타운,2438,980,128,0,0,980,76,0,1056,1,1,1,1,1,1,1,0,1,1,1,1
서울중구,서울중앙시장,16919,155,3,0,55,155,90,55,300,1,2,1,1,1,1,2,100,1,1,1,2
서울중구,신중부시장,7600,258,0,0,20,258,22,20,300,1,1,1,1,1,1,1,100,1,1,1,2
서울중구,신중앙시장,2795,150,5,0,50,150,20,50,220,1,2,1,1,1,1,1,100,1,1,1,2
서울중구,신평화패션타운,3151,936,150,0,0,936,1358,0,2294,1,1,1,1,1,1,1,50,1,1,2,2
서울중구,약수시장,5798,92,0,0,0,92,0,0,92,1,2,1,1,1,1,2,90,2,1,2,2
서울중구,자유상가,1567,173,110,168,0,173,0,0,173,1,1,1,1,1,1,1,10,1,1,2,1
서울중구,제일평화시장,3740,750,100,0,0,750,664,0,1414,1,1,1,1,1,1,1,10,1,1,1,1
서울중구,중부시장,10324,160,90,260,44,160,10,44,214,1,1,1,1,1,1,1,80,1,1,1,1
서울중구,테크노상가,4405,188,0,0,0,188,230,0,418,1,1,1,1,1,1,1,100,1,1,1,1
서울중구,통일상가,2890,589,38,0,0,589,121,0,710,1,1,1,1,1,1,1,90,1,1,2,2
서울중구,평화시장,8078,2065,100,100,0,2065,1200,0,3265,1,1,1,1,1,1,1,50,1,1,2,1
