사업명,시장명,지자체,행정동명,60대이상인구,1km_이내_주차장수,1km_이내_CCTV수,축제수,1km_이내_도시공원수,1km_이내_관광지수,배달빈도수,1.5km_이내_대규모점포수,1km_이내_버스정류장수,10~30대인구,1km_이내_대학수,실업률(％),1km_이내_문화시설
디지털전통시장,도마큰시장,대전서구,도마1동,5624,15,110,1.0,7,0.0,610010.0,4.0,61,6716,0,2.9,2
문화관광형시장,도마큰시장,대전서구,도마1동,5624,15,110,1.0,7,0.0,610010.0,4.0,61,6716,0,2.9,2
문화관광형시장,한민시장,대전서구,괴정동,3469,0,109,1.0,7,1.0,610010.0,12.0,52,9369,0,2.9,10
문화관광형시장,기장시장,부산기장군,기장읍,17179,19,201,0.0,20,1.0,199873.0,3.0,2,15798,0,4.1,3
문화관광형시장,부산진시장,부산동구,범일2동,2637,25,496,0.0,4,4.0,119438.0,10.0,14,2449,0,4.9,5
문화관광형시장,부산자유시장,부산동구,범일2동,2637,18,454,0.0,5,2.0,119438.0,12.0,15,2449,0,4.9,22
디지털전통시장,초량전통시장,부산동구,초량2동,2427,16,461,0.0,0,9.0,119438.0,1.0,16,1291,0,4.9,1
문화관광형시장,초량전통시장,부산동구,초량2동,2427,16,461,0.0,0,9.0,119438.0,1.0,16,1291,0,4.9,1
문화관광형시장,르네시떼시장,부산사상구,괘법동,6865,3,78,3.0,1,2.0,272158.0,7.0,20,9900,0,3.5,9
문화관광형시장,부산새벽시장,부산사상구,감전동,4930,7,49,3.0,0,1.0,272158.0,7.0,24,3280,0,3.5,8
문화관광형시장,괴정골목시장,부산사하구,괴정3동,4871,3,117,1.0,6,0.0,385185.0,3.0,9,3166,1,4.3,4
문화관광형시장,신평골목시장,부산사하구,신평1동,5702,2,68,1.0,4,0.0,385185.0,6.0,0,4222,0,4.3,1
문화관광형시장,장림골목시장,부산사하구,장림1동,2989,7,76,1.0,2,0.0,385185.0,5.0,0,3027,0,4.3,1
디지털전통시장,망미중앙시장,부산수영구,망미2동,3654,0,506,3.0,12,1.0,230217.0,6.0,0,2930,0,4.1,3
문화관광형시장,민락골목시장,부산수영구,민락동,8484,4,290,3.0,4,2.0,230217.0,6.0,0,8837,0,4.1,3
문화관광형시장,수영팔도시장,부산수영구,수영동,6015,0,438,3.0,6,0.0,230217.0,10.0,0,3750,0,4.1,7
